Date,Name,Price,Link
2025-06-17,"HP Victus, 12th Gen Intel Core i7-12650H,NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue,2.3kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm), Flicker-Free Gaming Laptop, Enhanced Cooling, fa1382TX","₹68,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjA2NDA2NTc2NzI1Njk0OjE3NTAxNDQ1NjY6c3BfbXRmOjMwMDUzMzUxNjE0MTMzMjo6MDo6&url=%2FHP-i7-12650H-15-6-inch-Response-fa1382TX%2Fdp%2FB0D81CWDSX%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg%26dib_tag%3Dse%26keywords%3DLaptops%26qid%3D1750144566%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
2025-06-17,"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","₹62,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjA2NDA2NTc2NzI1Njk0OjE3NTAxNDQ1NjY6c3BfbXRmOjMwMDUzNDkzNTA3MzQzMjo6MDo6&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg%26dib_tag%3Dse%26keywords%3DLaptops%26qid%3D1750144566%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
2025-06-17,"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","₹45,999",https://www.amazon.in/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-13
2025-06-17,"Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","₹34,490",https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-14
2025-06-17,"HP 255 Notebook, AMD 4GB 256GB SSD G10","₹23,610",https://www.amazon.in/HP-255-Notebook-AMD-256GB/dp/B0DV984J97/ref=sr_1_15?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-15
2025-06-17,"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","₹41,690",https://www.amazon.in/HP-RyzenTM-15-6-inch-Speakers-15s-fc0156AU/dp/B0CY2PLQ8N/ref=sr_1_16?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-16
2025-06-17,"HP 255 G10 7000 Series AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD/AMD Radeon Graphics) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","₹28,700",https://www.amazon.in/HP-Ryzen-7520U-2-8Ghz-4-3Ghz/dp/B0F4KYTVCP/ref=sr_1_17?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-17
2025-06-17,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD IPS, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0073IN, 1Yr ADP Free, Thin & Light Laptop","₹49,260",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0073IN/dp/B0DRNSHRKK/ref=sr_1_18?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-18
2025-06-17,"Walker Thin & Light Laptop,14.1""(4GB RAM,128GB SSD)| FHD IPS Display 1920 * 1080 Resolution | Celeron Processor N4020 (Gemini Lake)| UHD Graphics 600|Webcam | Windows 11 Home | Champagne Gold","₹12,990",https://www.amazon.in/Walker-Notebook-Laptop-PC-Model/dp/B0CGX5B5TZ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-19
2025-06-17,"HP 15 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/DOS) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg","₹30,110",https://www.amazon.in/HP-15-Intel-Core-1315U/dp/B0F8WC83WT/ref=sr_1_20?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-20
